"Department","Category","Supplier","Year","Month","Dept.By.Year","Categ.By.Year","Total.Sales"
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",7857
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",7802
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",7937
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",10386
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",10415
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",10716
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",14463
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",14713
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",14542
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,4,"FIDGETS 2014","BLUE FIDGETS 2014",28065
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,4,"FIDGETS 2014","BLUE FIDGETS 2014",27710
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,4,"FIDGETS 2014","BLUE FIDGETS 2014",28105
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,5,"FIDGETS 2014","BLUE FIDGETS 2014",47527
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,5,"FIDGETS 2014","BLUE FIDGETS 2014",48182
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,5,"FIDGETS 2014","BLUE FIDGETS 2014",47504
