"Department","Category","Supplier","Date.Sold","Year","Month","Dept.By.Year","Categ.By.Year","Total.Sales"
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-01",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",677
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-01",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",684
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-01",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",679
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-02",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",402
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-02",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",288
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-02",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",433
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-04",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",408
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-04",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",490
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-04",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",377
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-05",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",610
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-05",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",512
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-05",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",525
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-06",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",112
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-06",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",197
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-06",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",215
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-09",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",299
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-09",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",210
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-09",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",200
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-10",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",100
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-10",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",84
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-10",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",222
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-11",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",370
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-11",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",449
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-11",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",388
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-12",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",483
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-12",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",502
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-12",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",482
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-13",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",185
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-13",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",306
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-13",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",182
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-15",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",91
